,,,Misc,,,,,,Games,,Receiving,,,
Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Rec,Yds,TD,Lng
John Hilton,9.93,0,0,0,6,1965,1973,20,106,73,144,2047,16,66
Ed Dickson,9.9,1,0,0,7,2010,2018,16,134,86,190,2128,15,64
Ed West,9.88,0,0,0,7,1984,1997,20,211,125,237,2665,27,50
Bo Scaife,9.85,0,0,0,4,2005,2010,20,90,62,251,2383,12,44
Gerald Everett,9.83,0,0,0,2,2017,2023,20,97,38,249,2545,17,69
Don Hasselbeck,9.8,1,0,0,2,1977,1985,16,123,30,107,1542,18,51
Mike Gesicki,9.73,0,0,0,1,2018,2023,19,87,35,246,2761,18,70
Eric Johnson,9.65,0,0,0,5,2001,2007,19,71,59,240,2178,9,38
Jay Riemersma,9.65,0,0,0,4,1997,2004,19,112,73,221,2524,23,38
Dawson Knox,9.5,0,0,1,4,2019,2023,16,63,53,163,1872,21,53
Lee Folkins,9.38,1,0,1,2,1961,1965,12,63,27,80,1042,10,52
John Beasley,9.3,0,0,0,3,1967,1974,19,97,58,151,1607,13,40
Brian Kinchen,9.3,1,0,0,4,1988,2003,15,193,66,160,1648,7,41
Scott Chandler,9.15,0,0,0,2,2007,2015,18,90,39,205,2379,21,43
Ron Hall,9.05,0,0,0,7,1987,1995,18,119,106,230,2609,10,54
Billy Miller,9.05,0,0,0,0,1999,2008,18,114,36,200,2248,10,57
Dalton Schultz,9.03,0,0,0,3,2018,2023,18,81,52,232,2337,20,32
Noah Fant,8.88,0,0,0,4,2019,2023,18,69,62,231,2560,14,75
Jerramy Stevens,8.85,0,0,0,2,2002,2010,18,121,41,202,2217,22,35
David Njoku,8.83,0,0,0,3,2017,2023,18,84,55,225,2544,19,71
Terry Orr,8.75,2,0,0,0,1986,1993,10,105,19,52,939,10,58
Doug Marsh,8.63,0,0,0,6,1980,1986,17,92,90,167,2140,19,47
Johnny Mitchell,8.55,0,0,0,2,1992,1996,17,57,43,159,2103,16,65
Al Dixon,8.53,1,0,0,2,1977,1984,13,79,33,84,1248,8,48
Gary Barnidge,8.5,0,0,1,4,2008,2016,14,124,54,178,2258,14,55
Craig McEwen,8.5,1,0,0,1,1987,1991,13,54,24,108,1310,6,46
O.J. Howard,8.45,1,0,0,4,2017,2022,13,72,56,129,1882,17,75
Zeke Mowatt,8.45,1,0,0,3,1983,1991,13,118,58,135,1765,12,46
Clarence Kay,8.28,0,0,0,9,1984,1992,17,135,126,193,2136,13,34
Reuben Gant,8.15,0,0,0,3,1974,1980,16,101,50,127,1850,15,48
Billy Masters,8.15,0,0,0,5,1967,1976,21,132,71,169,2268,15,32
Bob Parsons,8.15,0,0,0,1,1972,1983,16,170,11,19,231,4,38
Dwayne Allen,8.08,1,0,0,4,2012,2018,12,86,72,139,1564,20,41
Trey Burton,8.08,1,0,0,1,2014,2020,12,98,30,159,1532,15,47
Jordan Cameron,8.03,0,0,1,4,2011,2016,13,66,50,173,2046,14,81
Keith McKeller,8,0,0,0,4,1987,1993,16,80,45,124,1464,11,43
Hayden Hurst,7.93,0,0,0,1,2018,2023,16,76,36,191,1834,15,61
Luke Willson,7.88,1,0,0,2,2013,2020,12,102,52,111,1307,11,80
John Carlson,7.83,0,0,0,4,2008,2014,16,90,64,210,2256,15,42
Joel Dreessen,7.83,0,0,0,4,2005,2013,16,120,49,158,1767,19,56
John Frank,7.83,2,0,0,0,1984,1988,8,66,22,65,662,10,38
Red Mack,7.78,1,0,0,1,1961,1966,12,58,12,52,1159,8,85
