,,,Misc,,,,,,Games,,Receiving,,,
Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Rec,Yds,TD,Lng
Percy Harvin,25.15,1,0,1,4,2009,2016,43,75,61,353,4026,22,53
Darrell Jackson,25.13,0,0,0,7,2000,2008,55,123,106,499,7132,51,80
James Jones,24.93,1,0,0,4,2007,2015,46,136,72,433,5861,51,83
Marlin Briscoe,24.85,2,0,1,5,1968,1976,42,105,74,224,3537,30,75
Robert Brooks,24.85,1,0,0,5,1992,2000,46,100,67,309,4276,32,99
Pierre Garcon,24.63,0,0,0,10,2008,2018,54,148,131,628,7854,38,88
Yancey Thigpen,24.48,0,0,2,4,1991,2000,48,112,58,313,5081,30,69
Gary Ballman,24.43,0,0,2,8,1962,1973,48,131,104,323,5366,37,87
Bobby Engram,24.38,0,0,0,7,1996,2009,54,176,113,650,7751,35,79
Henry Marshall,24.38,0,0,0,10,1976,1987,54,165,135,416,6545,33,75
Shawn Jefferson,24.28,0,0,0,7,1991,2003,54,195,130,470,7023,29,76
Jake Reed,24.23,0,0,0,6,1991,2002,53,155,91,450,6999,36,82
Michael Crabtree,24.13,0,0,0,10,2009,2019,53,143,139,637,7499,54,60
Duriel Harris,24.13,0,0,0,5,1976,1985,53,127,72,302,5055,20,64
Dwayne Bowe,24.05,0,0,1,8,2007,2015,50,125,112,537,7208,44,75
Justin Jefferson,24.03,0,1,3,3,2020,2023,39,55,53,360,5396,28,71
Roger Carr,23.98,0,0,1,7,1974,1983,50,115,92,271,5071,31,90
Marvin Jones,23.95,0,0,0,8,2012,2023,53,151,118,547,7421,58,73
Steve Watson,23.93,0,0,1,6,1979,1987,50,126,87,353,6112,36,95
Charlie Brown,23.8,1,0,2,4,1982,1987,38,68,50,220,3548,25,78
Chris Godwin,23.73,1,0,1,4,2017,2023,40,92,65,473,5998,32,71
Sammy Watkins,23.63,1,0,0,6,2014,2022,43,111,96,364,5384,34,84
Ted Ginn Jr.,23.53,0,0,0,7,2007,2020,52,193,83,412,5742,33,88
Antwaan Randle El,23.45,1,0,0,4,2002,2010,43,143,71,370,4467,15,63
Brandon LaFell,23.38,1,0,0,5,2010,2018,43,125,90,406,5398,31,91
Flipper Anderson,23.2,1,0,0,6,1988,1997,42,114,78,267,5357,28,78
Marty Booker,23.08,0,0,1,7,1999,2009,48,157,117,539,6703,37,66
Pat Studstill,23.08,0,1,2,2,1961,1972,40,147,42,181,2840,18,99
Jerricho Cotchery,22.9,0,0,0,6,2004,2015,51,175,89,524,6623,34,71
Elbert Dubenion,22.85,2,0,1,7,1960,1968,50,103,97,294,5294,35,89
JuJu Smith-Schuster,22.75,1,0,1,4,2017,2023,39,84,68,415,4874,29,97
A.J. Brown,22.58,0,0,2,4,2019,2023,44,66,58,315,5163,37,91
Alvin Harper,22.55,2,0,0,4,1991,1999,37,102,66,191,3473,21,90
Ron Jessie,22.48,0,0,1,6,1971,1981,47,138,95,265,4278,26,84
Jeremy Maclin,22.4,0,0,0,8,2009,2017,50,114,112,514,6835,49,83
Torrey Smith,22.38,2,0,0,7,2011,2018,37,119,106,319,5141,41,76
Allen Robinson,22.3,0,0,1,7,2014,2023,47,115,110,545,6885,43,90
Michael Haynes,22.2,0,0,0,8,1988,1997,49,147,114,428,6588,47,98
J.J. Stokes,22.13,1,0,0,3,1995,2003,40,118,69,342,4293,30,53
Ron Shanklin,21.95,1,0,1,5,1970,1976,37,72,71,168,3079,24,81
Paul Flatley,21.93,0,0,1,7,1963,1970,46,106,96,306,4905,24,71
Dick Gordon,21.8,0,1,2,6,1965,1974,38,115,83,243,3594,36,93
Hakeem Nicks,21.75,1,0,0,4,2009,2015,40,92,67,356,5081,31,68
Kelvin Martin,21.7,1,0,0,4,1987,1996,39,139,66,367,4768,15,60
Bert Emanuel,21.63,1,0,0,6,1994,2001,39,103,87,351,4852,28,85
Bill Groman,21.55,4,1,0,3,1960,1965,37,66,37,174,3481,36,92
Sean Dawkins,21.48,0,0,0,7,1993,2001,48,140,109,445,6291,25,68
Charles Johnson,21.4,1,0,0,7,1994,2002,39,133,87,354,4606,24,84
Clifton McNeil,21.38,1,1,1,3,1964,1973,31,105,42,181,2734,22,80
Stephone Paige,21.35,0,0,0,5,1983,1991,48,125,81,377,6341,49,86
Victor Cruz,21.3,1,0,1,3,2010,2016,36,70,53,303,4549,25,99
Willie Richardson,21.28,0,1,2,3,1963,1971,37,109,54,195,2950,25,79
Qadry Ismail,21.25,1,0,0,4,1993,2002,39,137,68,353,5137,33,85
Az-Zahir Hakim,21.15,1,0,0,2,1998,2006,38,110,38,316,4191,28,80
Vance Johnson,21.1,0,0,0,6,1985,1995,47,128,83,415,5695,37,86
